,장소,측정일시,인버터전압(R상),인버터전압(S상),인버터전압(T상),인버터주파수
5760,정선한교,2021-07-05 00:00:00,0.0,0.0,0.0,59.97
5761,정선한교,2021-07-05 00:01:00,0.0,0.0,0.0,59.97
5762,정선한교,2021-07-05 00:02:00,0.0,0.0,0.0,59.97
5763,정선한교,2021-07-05 00:03:00,0.0,0.0,0.0,59.97
5764,정선한교,2021-07-05 00:04:00,0.0,0.0,0.0,60.0
5765,정선한교,2021-07-05 00:05:00,0.0,0.0,0.0,60.0
5766,정선한교,2021-07-05 00:06:00,0.0,0.0,0.0,60.0
5767,정선한교,2021-07-05 00:07:00,0.0,0.0,0.0,59.99
5768,정선한교,2021-07-05 00:08:00,0.0,0.0,0.0,59.99
5769,정선한교,2021-07-05 00:09:00,0.0,0.0,0.0,59.99
5770,정선한교,2021-07-05 00:10:00,0.0,0.0,0.0,59.99
5771,정선한교,2021-07-05 00:11:00,0.0,0.0,0.0,59.99
5772,정선한교,2021-07-05 00:12:00,0.0,0.0,0.0,59.99
5773,정선한교,2021-07-05 00:13:00,0.0,0.0,0.0,59.99
5774,정선한교,2021-07-05 00:14:00,0.0,0.0,0.0,59.99
5775,정선한교,2021-07-05 00:15:00,0.0,0.0,0.0,59.99
5776,정선한교,2021-07-05 00:16:00,0.0,0.0,0.0,59.99
5777,정선한교,2021-07-05 00:17:00,0.0,0.0,0.0,59.98
5778,정선한교,2021-07-05 00:18:00,0.0,0.0,0.0,59.99
5779,정선한교,2021-07-05 00:19:00,0.0,0.0,0.0,59.99
5780,정선한교,2021-07-05 00:20:00,0.0,0.0,0.0,60.03
5781,정선한교,2021-07-05 00:21:00,0.0,0.0,0.0,60.04
5782,정선한교,2021-07-05 00:22:00,0.0,0.0,0.0,60.04
5783,정선한교,2021-07-05 00:23:00,0.0,0.0,0.0,60.02
5784,정선한교,2021-07-05 00:24:00,0.0,0.0,0.0,60.01
5785,정선한교,2021-07-05 00:25:00,0.0,0.0,0.0,60.01
5786,정선한교,2021-07-05 00:26:00,0.0,0.0,0.0,60.01
5787,정선한교,2021-07-05 00:27:00,0.0,0.0,0.0,60.01
5788,정선한교,2021-07-05 00:28:00,0.0,0.0,0.0,59.99
5789,정선한교,2021-07-05 00:29:00,0.0,0.0,0.0,59.99
5790,정선한교,2021-07-05 00:30:00,0.0,0.0,0.0,59.99
5791,정선한교,2021-07-05 00:31:00,0.0,0.0,0.0,60.0
5792,정선한교,2021-07-05 00:32:00,0.0,0.0,0.0,60.0
5793,정선한교,2021-07-05 00:33:00,0.0,0.0,0.0,60.01
5794,정선한교,2021-07-05 00:34:00,0.0,0.0,0.0,59.98
5795,정선한교,2021-07-05 00:35:00,0.0,0.0,0.0,59.95
5796,정선한교,2021-07-05 00:36:00,0.0,0.0,0.0,59.95
5797,정선한교,2021-07-05 00:37:00,0.0,0.0,0.0,59.97
5798,정선한교,2021-07-05 00:38:00,0.0,0.0,0.0,59.97
5799,정선한교,2021-07-05 00:39:00,0.0,0.0,0.0,59.97
5800,정선한교,2021-07-05 00:40:00,0.0,0.0,0.0,59.97
5801,정선한교,2021-07-05 00:41:00,0.0,0.0,0.0,59.99
5802,정선한교,2021-07-05 00:42:00,0.0,0.0,0.0,59.99
5803,정선한교,2021-07-05 00:43:00,0.0,0.0,0.0,59.99
5804,정선한교,2021-07-05 00:44:00,0.0,0.0,0.0,60.0
5805,정선한교,2021-07-05 00:45:00,0.0,0.0,0.0,59.97
5806,정선한교,2021-07-05 00:46:00,0.0,0.0,0.0,59.97
5807,정선한교,2021-07-05 00:47:00,0.0,0.0,0.0,59.97
5808,정선한교,2021-07-05 00:48:00,0.0,0.0,0.0,60.02
5809,정선한교,2021-07-05 00:49:00,0.0,0.0,0.0,60.02
5810,정선한교,2021-07-05 00:50:00,0.0,0.0,0.0,60.02
5811,정선한교,2021-07-05 00:51:00,0.0,0.0,0.0,60.03
5812,정선한교,2021-07-05 00:52:00,0.0,0.0,0.0,59.99
5813,정선한교,2021-07-05 00:53:00,0.0,0.0,0.0,59.99
5814,정선한교,2021-07-05 00:54:00,0.0,0.0,0.0,59.97
5815,정선한교,2021-07-05 00:55:00,0.0,0.0,0.0,59.97
5816,정선한교,2021-07-05 00:56:00,0.0,0.0,0.0,59.97
5817,정선한교,2021-07-05 00:57:00,0.0,0.0,0.0,59.99
5818,정선한교,2021-07-05 00:58:00,0.0,0.0,0.0,60.01
5819,정선한교,2021-07-05 00:59:00,0.0,0.0,0.0,59.97
5820,정선한교,2021-07-05 01:00:00,0.0,0.0,0.0,59.97
5821,정선한교,2021-07-05 01:01:00,0.0,0.0,0.0,59.98
5822,정선한교,2021-07-05 01:02:00,0.0,0.0,0.0,59.98
5823,정선한교,2021-07-05 01:03:00,0.0,0.0,0.0,59.98
5824,정선한교,2021-07-05 01:04:00,0.0,0.0,0.0,60.0
5825,정선한교,2021-07-05 01:05:00,0.0,0.0,0.0,60.01
5826,정선한교,2021-07-05 01:06:00,0.0,0.0,0.0,60.01
5827,정선한교,2021-07-05 01:07:00,0.0,0.0,0.0,60.01
5828,정선한교,2021-07-05 01:08:00,0.0,0.0,0.0,59.99
